Step, Time, Epot, Ekin, Etot
432, 17.280000, -589148.468631, 5887.515132, -583260.953499
433, 17.320000, -593445.454973, 5920.375628, -587525.079345
434, 17.360000, -594660.911673, 5998.867710, -588662.043963
435, 17.400000, -593520.446662, 6016.156031, -587504.290631
436, 17.440000, -593096.650522, 5946.320276, -587150.330246
437, 17.480000, -592877.276630, 5916.068342, -586961.208288
438, 17.520000, -591847.971693, 5916.352835, -585931.618858
439, 17.560000, -592042.053642, 5922.829780, -586119.223862
440, 17.600000, -594552.007918, 5934.501262, -588617.506656
441, 17.640000, -591596.690847, 5999.857071, -585596.833777
442, 17.680000, -591808.493710, 6004.817323, -585803.676387
443, 17.720000, -590723.587085, 5920.436730, -584803.150355
444, 17.760000, -590862.240011, 5856.995546, -585005.244465
445, 17.800000, -590427.379394, 5837.195285, -584590.184109
446, 17.840000, -591594.588299, 5896.161052, -585698.427247
447, 17.880000, -590876.412368, 5949.512013, -584926.900355
448, 17.920000, -590855.833806, 5948.364701, -584907.469104
449, 17.960000, -590810.763483, 5909.120024, -584901.643460
450, 18.000000, -589785.456753, 5874.735110, -583910.721643
451, 18.040000, -590681.145569, 5862.433964, -584818.711604
452, 18.080000, -591571.203342, 5870.487136, -585700.716206
453, 18.120000, -590763.316819, 5877.114254, -584886.202565
454, 18.160000, -591803.404678, 5916.549543, -585886.855136
455, 18.200000, -590102.052915, 5961.383534, -584140.669382
456, 18.240000, -590242.934445, 5961.849293, -584281.085152
457, 18.280000, -589544.861065, 5931.920703, -583612.940363
458, 18.320000, -590582.691148, 5901.132656, -584681.558492
459, 18.360000, -591099.515255, 5956.886755, -585142.628500
460, 18.400000, -594060.945192, 6007.910697, -588053.034495
461, 18.440000, -593489.853460, 6004.757482, -587485.095978
462, 18.480000, -593161.523529, 5977.360872, -587184.162658
463, 18.520000, -595013.691277, 6004.455681, -589009.235596
464, 18.560000, -593796.069150, 6021.135324, -587774.933825
465, 18.600000, -593725.306378, 5989.075139, -587736.231239
